Unigrams,Freq
şaşıracak,4
şaşırdıkça,1
görecek,11
bilmek,22
fiilini,1
arayacak,4
bulamayacak,1
geleni,13
geçeni,4
kendi,345
sanacak,6
ne,2671
kendim,37
başkalarını,6
hani,189
nerede,122
isteyecek,9
istemeseydi,1
anlamakla,1
istemek,9
yan,61
yana,138
çağ,25
bitecek,27
başlayacak,12
neden,252
niçin,42
nasıl’a,1
yönelecek,1
yönelmeseydi,1
fiili,1
ister,76
istemez,17
verilecek,3
durumu,7
belirecek,2
hızı,6
gelişecek,1
ayarı,1
insanca,5
bozulacak,2
neleri,12
anlamalı,3
ayıramayacak,1
başka,463
kendilerini,11
görünce,37
onlarla,26
karıştıracak,2
boyuna,26
başkaları,15
geçecek,26
kendisi,26
aralarında,26
yabancı,65
kendinde,9
kendime,112
nereden,36
gireyim,3
kendimden,33
nasıl,652
çıktım,16
olacak,129
olan,316
olduğunca,2
olacağınca,1
andan,10
olanca,11
i̇ş,8
işden,1
yardımcı,2
fiil,1
düşecek,21
ilkin,10
şey,550
onunla,57
alışacak,1
düşünceleri,7
kör,91
topal,7
gidecek,24
bundan,56
şımaracak,1
dur,80
şununla,1
iş,38
göreyim,12
eline,44
cebi,2
değecek,6
ile,273
tabancası,2
birleşecek,2
anda,112
fiiller,2
ondan,74
geri,165
alınacak,2
ateş,200
edecek,24
ona,182
birini,46
vuracak,11
bilecek,9
ler,3
siniz,2
perde,47
inecek,5
perdenin,11
önündekiler,1
donup,12
kalacak,27
lar,9
sınız,1
arkasındakiler,1
bekleyecek,5
ölü,153
yerde,251
uzanık,1
yatacak,4
vuranı,1
görenler,10
vurulanı,2
tıklım,7
eğilecek,1
baktıysa,2
hepsi,96
başkayı,1
umduğunda,1
a’lar,1
çelik,39
teller,13
dolaşacak,1
hi,2
dolacak,6
yatanda,1
herkes,124
tanıyacak,2
aralanacak,1
vuran,56
ortaya,37
çıkanda,1
tanıyınca,1
bitmeyecek,14
pazar,26
pazartesi,8
saat,83
kalbinde,23
eksik,81
etmediğin,3
senin,667
kaderindir,1
aklında,7
yolundur,1
dilinde,27
tercihindir,1
kısa,53
ceza,14
olandır,5
bilmediğinden,2
bilir,169
belki,424
yalan'dır,1
kendiliğinden,11
korku'dur,1
saklanandır,1
çirkinliğinden,1
soru,23
olsa,219
gerek,54
sorulmadığındandır,1
ellerini,115
ver,124
öpeceğim,5
el,215
içindeyim,10
şu,390
beyaz,257
çizgilerden,1
gideceğim,15
öldüreceğim,2
gözlerinden,81
gireceğim,2
yer,251
edeceğim,13
oradan,35
sesleneceğim,2
bunca,91
yıl,107
yaşadım,49
elime,25
geçtiyse,1
yitirdim,21
biraz,328
daha,1018
biriktirdim,11
bakış,32
görüş,12
duyu,5
düşünce,43
aç,130
kalacağım,5
suçlanacağım,1
ölünce,8
yazdım,33
yazacağım,10
hüzünden,11
baş,90
alamadım,6
türkiye'de,1
i̇stanbul,139
ise,122
i̇stanbul'da,12
gecede,75
yürümek,13
yürürken,27
düşünmek,21
unutamamacasına,1
unutamamanın,1
anlamı,33
sevmek,101
saklayayım,1
yok,719
derken,80
aşka,101
düşmek,7
her,2003
neyse,23
söylemek,41
çırpındığım,2
gecelerde,42
siz,146
yoktunuz,3
etika,1
zekâ,3
düşersen,2
