Unigrams,Freq
gidersek,2
sevinçler,18
buluruz,2
hüzne,19
konuşunca,2
ırmak,49
yayla,22
kokuşlu,1
çiğdemler,2
menevşeler,1
koynumda,16
dağları,63
anlatırdın,1
dostluğu,3
sekerdi,1
duymasam,2
çölleşirdi,1
yarılır,3
ırmaklar,11
kururdu,2
çökerdi,3
yüreğime,143
çiçekle,3
gelirdin,10
unutmadın,3
'merhaba',1
söylerdin,2
mevsim,63
kırlara,11
topladık,3
ürküttük,2
tarla,8
kurdu,17
ürkütmedik,1
paylaşılmış,2
yasak,47
durmaktadır,3
firari,13
duvarlarda,7
ayraçları,2
kaldırdın,3
unuttuğun,12
sulamadın,2
günboyu,4
ayrımsadık,2
susuşların,4
eklendiği,1
ezberlenecek,1
kirletilmemiş,1
çıkışımda,2
dönmeyi,1
düşünsem,18
erteletiyorum,1
biletimi,1
burkuluyor,3
sıkıyor,3
fotoğraflarımı,2
yırtıp,7
yapraklarımı,2
döküyorken,1
eylül,69
ağlıyorsun,4
dememek,1
uçaklar,10
çiziyorsun,1
bul,27
parçalanacağın,1
tutkun,4
gelirken,13
uçurmak,2
bindiğin,2
otobüsü,3
sulanmadığı,1
konuşacak,8
bulamıyorsak,1
gündemdedir,1
yapılsa,2
kaldırdığını,1
sanmıştın,1
unutmuşsun,1
ayracını,1
cesaretimi,2
serüvenlere,4
hazırlarken,1
cılız,8
rüzgarımı,1
yelkensiz,3
kipiyle,1
düşürüyor,3
anılarıma,4
verip,18
doruklara,3
asmin,1
kadınım,25
anamdı,2
metrenin,1
inmiyor,1
fil,8
sezgisi,1
gitmeliyim,25
yazmalıyım,3
ayrılıkları,7
asminli,1
kurmalıyım,3
bulmalı,5
sorulara,4
demiyorum,5
oyuncaksam,1
hırçın,36
celladım,3
oymuştu,1
fırlatıp,6
özlüyorum,22
niyetçi,1
tavşanlara,2
beklediklerim,1
sormaktan,1
minör,2
ağrılardan,2
buharlaşan,1
cıvayı,3
soluyorum,6
gereklilik,2
kipinde,1
karda,19
avcılar,18
peşime,13
düşsün,22
vursunlar,6
uğuldayıp,3
adımı,30
ıslığını,3
incelterek,2
ardımdaki,2
kırarak,5
çam,24
ormanından,5
sessizliğiyle,7
özetleniyor,2
buz,92
tutmuştur,6
aşklarım,1
yangını,31
uçlarımda,6
eriyen,13
yağıyorken,2
bekerel,1
yağıyordur,2
seyir,5
defteridir,2
ayrılıklarla,5
anlatılabilir,2
kahkahayla,4
ovalardan,5
vurulmalıdır,1
yakışmıyor,7
dostumdun,5
asarım,6
suretini,8
meşeler,5
göğermiş,5
göğersin,3
yitiren,10
şimdilerde,7
şiirlere,10
yabancıyım,5
delemiyor,2
apansız,43
yetmiyor,24
gidebilir,3
ürkütülmüş,2
gibiydin,15
efkar,5
yakışırdı,9
kekik,17
kente,33
indiğimiz,2
okuduğumuz,4
düşüncelerimizde,1
yaşattığımız,1
hayallerimizi,5
yürüdüğümüz,8
yolları,47
adresten,2
dostumsun,2
neredeysen,8
karartmadan,2
yitirmeden,6
döneceğim,9
geldiğinde,16
dizboyu,2
koş,16
koşabildiğince,1
yitirme,2
neşeyi,5
kırların,8
sessizliğinde,16
yüreğinin,58
ayır,2
pervasızdır,1
masmavi,28
fışkırır,6
ışıldayan,5
sevincin,17
nilüferleri,1
şaşırtmasın,1
uzan,7
gölgeye,5
mapusane,2
dinleyişinde,1
burkulmakta,1
sızlamaktadır,1
acılara,10
alışılmaz,1
değişecek,1
değiştirmemiz,1
acılardan,9
başlanacak,1
geçmeyebilir,1
kahredici,4
kıyım,4
bitmeyebilir,1
sahip,16
açacak,25
hüzünlüyse,1
burkulmasın,1
sızlamasın,1
gelmişim,2
azgınlaşsın,1
uğuldayadursun,1
dışardaki,1
serçe,45
titremesin,1
ürkütmesin,2
direnmektir,2
bekleyişin,10
gülümse,15
ırmağıyla,2
yeşerecek,5
bozkırları,2
beke,1
kesinlikle,4
irin,3
nefret,21
akıyor,44
burun,4
mumyalanmış,1
hayvana,8
benzetilirken,1
sakal,12
göğsüme,34
rakamlara,1
yılından,1
fotğraf,1
albümlere,1
girmeyecek,3
yüreği,83
alırken,8
kalemi,10
beceriksiz,2
olasıya,2
yapayalnızım,2
defasında,8
eksiksiz,6
yazılsın,4
yaşımın,2
akbabalar,2
kelebekler,16
yaşarlarmış,1
ömürlüdür,1
yaşanmışsa,2
hoşgörünün,1
parçasıdır,2
yakabilirim,1
anılarımı,12
irkiliyorum,2
dostlarım,17
terkedilmiştir,1
yurdumda,4
kıymeti,2
harbiyesi,1
keçeleşmiştir,1
yalnızlığıma,20
sıçrarken,2
kekeme,10
alıngan,4
nerden,35
bilebilirsin,1
yazıldığını,1
tarlaların,4
sınır,6
taşlarını,9
kaldırdım,5
böceklere,3
sürüklediği,2
kuma,8
dönülür,2
kıyıdan,4
haritalarını,1
inceledim,1
motiflerini,1
savaşla,2
uzaklığa,4
çalıştım,9
eğilmek,1
gerekirdi,2
bildim,17
yataklarını,2
izledim,1
tarhlarını,1
karıncanın,5
yitirdiği,4
kimdim,1
pazarında,5
dolaşırken,3
biriydim,4
miladıyla,1
hikayedir,3
yaşayıp,8
gelmişiz,4
şafakta,6
ulumaları,2
masalcı,1
otur,19
postuna,1
yaşadıklarımızı,1
koy,49
hatamızı,1
sevabımızı,1
nelere,3
kahretmişiz,1
germişiz,1
bedeli,15
ödenmiş,3
şafağın,14
bilelim,5
sürgün,52
etse,5
hayatımız,9
göründüğü,4
basit,17
unuttuk,17
birtakım,9
bekleyişler,10
unutmayalım,11
zulüm,36
hayatımızda,8
anahtar,10
geçmişle,1
irinli,2
deliğinden,6
sızan,40
varsalar,1
kapatırlar,1
elektrikli,1
aygıtla,1
yaktım,25
jiletle,1
kazıdım,6
çığlıkların,7
uçurdum,6
savurdum,1
gayrısını,7
kömürleşmiş,1
örtülmüştü,1
derinlerden,4
duvarını,4
madeni,5
gürültüye,3
yerkabuğunu,1
bilmiyordu,10
sordukları,1
derimin,3
uçlarımla,3
renksizliğin,1
rengiydi,2
çürüyen,17
kokusuydu,2
duvarların,17
memelerini,3
okşamamış,1
sicaklığını,1
duymamış,2
cüzzamlının,1
ölünün,8
killi,1
duramayan,1
yaratıktım,1
soyumun,1
benzediğini,1
'i̇nsana,1
benziyorlardı',1
maymun,5
halkasında,2
insanlık,11
çöle,20
dönmüş,19
damlasının,3
düşüşü,4
damlayla,1
çatlatacak,1
bağrındaki,4
tohumu,15
vahalarını,1
genzim,1
i̇nce,38
şeridi,2
yetmiş,8
gündür,7
sakındığım,1
çölün,15
seraba,1
değdiriyorum,1
sünger,5
bataklıktaki,1
dayanılabilir,1
kutuda,1
küstü,13
çürüdü,14
sülfür,3
kırıldı,30
tenhaydı,1
geceydi,4
yalnızlığım,20
getirebildiğim,1
kokularını,2
yitirmişti,1
yak,29
parasız,5
yatılı,8
hüzünlerden,2
türküz,1
söylemesi,6
i̇ntiharsa,1
günahtır,2
külliyen,1
pısırık,1
ihtilal,2
belleğim,5
bela,13
eskiyen,10
saatini,7
çocukluğundur,1
pulları,3
kaçışlarımı,1
i̇stersen,11
say,33
yapabilirsin,1
vur,44
seviyorumdur,1
fotoğrafı,9
sanıyor,4
ganimettir,1
büyülenerek,1
taşlayarak,1
kovdu,2
kabilesi,1
sisyphos,1
pusluydu,1
sır,56
taşımaktan,9
kırılmanın,1
onarılmaya,1
kov,2
kabilenden,1
sevdalanmak,3
yüreğinde,41
depremin,2
uğultusunu,4
karanfilse,2
ırmağın,12
türküsüne,2
gülüm,115
vursun,9
taştan,16
çağlayandan,1
çağlayana,3
kalmışsan,1
uzaksın,2
devinmez,1
mağması,1
çatlamaz,1
sabrın,18
huznun,1
özlemedim,3
özlemek,8
dostluktandır,1
dostluğundan,1
bulmalıyım,3
dokunuşlarını,1
kenetlenişi,1
terimizle,3
sulanmalı,1
ışıldamalı,1
çıkmalı,1
sarsılmalıyım,1
isteğidir,1
saçlarına,29
takmam,1
akıtırım,1
ovaya,10
soluğunla,2
bozkırı,4
akkor,6
halindeki,1
bakır,20
eriyip,14
kraterler,1
kalırım,19
sula,6
balkonun,4
taşsın,1
hırçındır,2
bulutlanır,2
susarsın,3
zehirlidir,1
mahpusken,1
lekeye,2
katlanır,5
sarışınlaşırsın,1
kaçıncı,38
çiçeklere,11
beklediğin,8
tecrit'teki,2
kemiriyor,4
boşluktayken,1
yakıyorsun,3
tutuşuyor,7
akşamı,25
geciktirebilirsin,1
suladığın,2
fesleğenlerle,1
vaktin,11
ayırdındadır,1
mahpuslar,1
koldemirleri,1
feride,1
öner',1
duvardaki,3
yaşıyorlar,6
gittikleri,1
anılarıyla,2
gelirler,5
üşümüştür,1
yalnızlığında,9
parmaklığın,1
üşüyorum,41
rüzgârlar,16
dallarımda,1
zehirli,21
açıyor,18
kanımda,4
gölgeme,4
sarınmak,2
rüzgârlarına,4
yaşarım,18
zehrinden,1
üretirim,2
karası,16
yaratırım,1
atlarım,19
rüzgârların,6
yapraklarım,6
büsbütün,18
viran,19
dağlarım,2
ezberimdeki,6
savrulup,13
karşılığı,20
sesimde,9
ormanların,4
gümbürtüsü,2
baştan,48
şiirdi,1
ömrümüzün,6
doğruydu,3
di̇,1
sü,1
yürüyüşün,2
koşunun,2
rüzgarını,5
köpüren,3
yeleyi,1
toynakların,1
kıvılcımlarını,1
kişneyen,4
tayın,6
sevincini,9
öfkeyi,3
sağırındaki,1
mahmuz,5
yarasını,10
şehzadeleri,2
avradın,1
silahın,5
kardeşisin,1
feodalın,1
töresini,1
terkinde,1
karçırdığın,1
eşkiya,7
ölümleri,8
ölümsüzlükleri,1
tahta'dan,1
tunca,1
senki,1
yaşayansın,1
küçükmüş,3
düşlermiş,2
umutlardan,5
mutsuzluk,6
büyükmüş,1
sekizinci,3
renge,9
sarınan,1
metaforlarmış,1
hiçlikten,1
ezberleyecek,3
kadarmış,3
okyanusmuş,1
yelkenliler,2
batan,30
kayan,22
şaşkınım,5
bilemedim,18
düz,15
yürümenin,1
imlâsını,1
dizlerime,8
öğrenemediğim,1
sevgilisi,9
kadınlarımın,1
papağan,3
tüneğiydim,1
öğrendiysem,1
kadınlardan,2
diyebilmeyi,2
büyülendim,1
büyüyemedim,1
ermedi,2
sakladıklarını,1
cahilim,1
onarmaya,4
kalkmasın,3
kaybedilmeye,2
bitirilmişse,2
edilmişsindir,1
sevdiklerince,1
suçlamak,1
istemesende,1
üzünçle,1
yanmakta,2
koyamadığın,3
boğunç,1
dolmakta,1
yüreğine,89
ağmaktadır,1
peteğine,2
ağulu,4
elimizde,15
kehribar,9
tesbihi,2
parmaklarımızdan,1
bölük,12
pörçük,6
anlattın,5
devrilmekte,1
tutmamışsın,1
acımızın,2
çetelesini,2
dövüşen,1
yapraklı,5
defterini,5
oku,25
hayatımızın,3
parçalanmış,32
hikayesini,3
çığ,16
yarıyorsa,1
gerilmiş,14
saatte,15
tükenip,5
bitmiştir,2
çırılçıplaktır,1
tarihin,15
sayfası,4
fiziğin,1
ettiği,12
keçeleştirirken,1
cinsel,9
organımı,1
haykırıyorum,3
çatlatıyor,1
alnımın,12
gergin,17
öldürüldü,5
kurşuna,12
dizildi,3
geceyarısı,1
hayaletler,4
geziniyormuş,2
caddelerde,8
baykuş,5
tüneği,2
uçuşuyormuş,2
silah,14
esrar,7
kaçakçıları,2
çağını,5
yaşarlarken,2
artıyormuş,2
yandan,23
kumarhaneler,2
meyhaneler,3
borsa,2
oyunları,7
hileli,4
iflaslar,2
kovalayıp,3
çıkmışsa,2
bilinmiyor,7
yaygınmış,2
ruleti,2
i̇ntiharların,2
sayısı,7
çoğalıp,3
duruyormuş,1
fahişeler,2
sayılmıyormuş,1
incindiğin,1
düştüğümdür,1
kurtarır,3
çeyiz,5
sandığının,2
duvarındaki,3
bıkkın,4
karartmışsa,1
duvağını,4
düşürmüşse,1
ilkyazın,3
tomurcuklarını,2
bahardır,4
verecektir,3
olgun,9
sarartmasın,1
sevdanın,120
çırasını,2
türkülerle,9
barajını,2
yıkan,6
katıl,3
hüznün,41
isyana,4
bezginliğin,1
ölümcül,17
suskunluğu,10
cinsellik,2
tutanakçısıyım,1
anlatıp,3
dururum,8
aylak,5
birmiydim,1
çingeneyle,1
serseriliğimdi,1
masalcıydım,1
serüvenleri,4
tarihimdi,1
pespese,1
yakılıyordu,1
oralardaydım,1
cesaretle,2
kalemimin,6
gittikce,2
böcekleşiyor,1
sözcüğün,2
böceköldürücü,1
çılğına,1
yalnızlaşıyorum,2
tasarısından,1
ediliyor,6
soğuyan,5
kırlangıç,23
mecnun,20
yurdu,13
okuduk,3
satırını,2
çizip,6
notlar,2
düştük,3
kıyılarına,11
buzul,5
kütlesi,1
bulamıyorsun,2
düşüşüp,1
yolcu,36
hüznüyle,10
esmerlik,3
parçalanıyor,3
parmaklarımın,6
seçtiğim,1
numaralar,1
telefonlarda,1
kaçırıyor,2
korkulu,12
kurtulursam,1
aşkla,45
kurtulurum,1
nerdeler,2
çoğunun,3
kimliğinde,1
kazınmış,5
adresler,4
nevin,1
kıydı,2
kızdı,3
öner,2
enfarktüs,1
içerde,12
öksürürdü,1
ayşe,5
yosması,3
sarma,3
yalnızlığımızı,3
intiharını,1
umursamıyor,1
göğsüm,10
kesmiş,4
üşüten,6
yalnızlıkta,2
içtiğimiz,3
gülüşler,16
solgunluğunda,1
voltalarda,1
yaşanıyor,5
gülçin,2
porselen,4
fincanla,3
içemeyecek,1
uzatamayacak,1
sevgilisinin,5
istediği,6
yazılsa,1
şiirimde,4
dipnot,2
depremler,2
puslu,26
görüntü,8
dediğimiz,8
buharlaşıyor,2
buluşalım,4
sözümde,3
yanlışsa,1
yitirmedim,4
kadardılar,1
nerdeydiler,1
üretiyorum,1
telgraf,6
tellerinden,2
suluyorum,1
soysuzlaşınca,1
tiranlaşıyor,1
belleksizlik,1
i̇nat,2
öfke,43
kaybediş,1
kayboluş,2
oluyoruz,8
komikti,1
dıştan,8
ayışığı,15
direkleri,3
fesleğenler,7
burdayız,1
sessizlikteyiz,1
unutulan,11
tiran,1
kampana,2
çöldeyiz,1
çevrende,3
musa,10
belleksizdir,1
firavun,2
babil,2
imgede,1
düzlem,1
olabilen,1
grilik,1
inilecek,1
yanlıştayım,1
beklemesini,2
acalesi,1
gidiyorlar,13
azız,2
yanıldı,2
yenilgilere,2
uğradı,3
hesabını,8
tutmaya,7
beklemeye,6
dönmelere,1
yangınlarla,3
ömrü,33
yalnızdı,14
yalnızdılar,2
doğmuştu,2
gitmişti,11
kentten,8
anımsamıyor,1
sokaktaydı,1
öpüşmenin,2
esrikliği,1
gizlice,37
ölürcesine,2
geçiren,8
nerededir,2
olursam,4
yaşayamam,3
liseli,1
afeti,1
devran,11
atlas,8
sererek,2
acıydı,6
yangınların,4
yereydi,1
ayrılıkların,7
i̇stese,3
kalamazdı,1
yankılanınca,1
burkulması,3
doldururdu,1
bohçasını,2
öpüşlerin,3
esmerliği,2
kıpırdanıp,1
çıkılacaktır,1
karşılığıdır,1
serüvenler,4
serüvendi,1
yatkındı,1
yolculuklarla,2
gidebilirdi,1
arkada,8
sözcüğü,10
fışkırırdı,1
karnından,6
kavaklarsa,1
oynak,8
kıpırdanışında,1
açılıverir,2
bacakları,6
mekan,11
tutmak,12
batışını,3
kadınla,4
sevişerek,3
raflara,1
sıralamak,1
eşyayı,2
eskimektir,1
görebilmeli,2
cehenneme,5
dönse,9
değişmeli,1
yolculukların,5
ürperten,7
heyecanı,4
dalgalarının,1
dol,4
ömre,13
kement,8
atan,29
serüvenlerle,1
geçsin,17
ıslıkla,3
sarsılan,3
yarılan,2
uğultularla,1
burgaçlanırken,1
kucaklardı,3
sekişli,1
dolardı,11
atardı,4
ırmağa,7
kalmışsa,3
serüvenden,2
yaşadı,11
kentleri,5
bağlanacak,1
hiçbirinde,1
pervasız,6
bilgeydi,2
kaybetmesini,1
öğrendi,4
ömründe,8
avucundan,1
taneleriydi,1
serseriydi,1
yılgın,14
savaşçı,7
kafasıyla,1
düşünen,5
hakkında,14
fermanları,1
çıkartılan,1
biriydi,1
severdi,7
dövüşmek,1
bağlandığı,3
yaşamayı,25
bilebilir,8
eylemler,2
çağında,6
kaçabilir,1
ölmekten,4
yerleşik,1
yargıları,1
kurmadı,1
tehlike,6
dinsizdi,1
sayılırdı,1
bağlanmazdı,1
özgürlüğe,13
yeterinden,1
beklemedi,1
sarnıcının,1
dolmasını,1
şikayetsiz,1
pişmanlıkların,2
ayrıntıların,1
kalmamış,10
sıyrılıp,6
gidilmiştir,1
denizlerin,27
soluktur,1
kandiller,4
sönmek,1
üzeredir,2
konaklar,2
yüzyıllık,8
sinsi,17
hastalığa,4
dönmeden,9
okyanustur,1
çevreni,1
anılarsa,1
çıban,4
izidir,2
yaşanmaz,9
ölgün,9
gölgesinde,51
uysal,9
kısrak,12
dinginleşti,1
anısız,3
kalınmıyor,1
kuşatıyor,4
bekleyişleri,3
çakal,9
köprüler,11
olmaksızın,1
düşülmeli,1
diş,18
kanırtıp,1
bırakmalı,1
olgunlaştıramayacağı,1
acemilikler,1
toplamı,3
boyun,48
eğmedi,1
seçme,4
zorunda,12
bağlanmadıysa,1
bağlanmadı,2
tırmana,1
atlar,64
şahin,10
sevdaların,34
yörük,2
çadırını,3
gezgin,10
dövüşür,1
yolculukları,1
korkusuz,9
korkardı,2
düşmekten,2
gemileri,15
düşünmedi,1
umutlardansa,1
ihtilallerden,1
azizdin,1
yurdumdun,1
alnında,37
ateşler,28
aktığımız,1
yürüyüş,2
dündü,2
patlayan,13
fabrika,12
düdükleri,3
vardiyada,1
hazırladığımız,1
baskısı,3
afişi,3
bükülüp,2
sokaklarını,8
önlerini,2
burnumda,4
mayısta,2
taşıdık,4
kentlere,5
gülistan,6
tanırdın,1
ağlamadık,2
çıldırdık,1
çıldırasıya,2
çocuklarımıza,1
verdik,12
çoğaldı,5
yetişmedi,1
öldürülecek,1
büyümüştük,1
demişlerdi,1
akıp,46
kimilerinin,1
bakışlarına,13
karlar,25
yağmış,6
geçit,9
lâl,7
yakanlar,2
eksilmiyor,1
uçuşup,4
ölülerini,1
söylediğin,11
göğerir,3
kalırdı,10
huysuzda,1
soframıza,2
ağarken,1
efkâr,2
pantalonlu,1
resimlerimiz,1
sararmadı,1
sigarasını,3
bölüşen,2
kaçağı,6
haylaz,9
anlamıyor,5
günlerde,16
sevgilileriyle,1
denizaşırı,1
kuran,10
sinemalar,2
işçiler,3
ötekileri,1
konuşuyoruz,6
odamızın,3
edilişini,1
katta,1
yaralı,97
kardeşin,8
çığlığını,10
kantinde,1
yırtılıyordu,1
deşikti,1
mosmor,6
çığlıktı,5
malatyalı,1
huysuzu,1
anımsatırdı,1
kimilerine,1
güzelleştirirdik,1
mıydık,9
hikâye,8
yalandır,6
karıncalanmış,1
namlu,8
yatıyorlar,1
öpücüktür,1
huysuzdan,1
rüzgâra,21
unutmadım,26
kumrular,7
hüzzamdı,1
kale'ye,1
rast,7
vaktinde,17
çıkılırdı,1
sezenlerdeki,1
hanende,1
sarguttan,1
karpiç,1
diğerleri,2
ankara'da,1
kızılay'da,1
huzursuz,4
zürafa,3
dolaşması,1
kuytu,34
köşesindeyim,1
bedenimin,8
üstte,4
kristal,13
ozancasına,1
sıkıntının,3
yayalnızlığı,1
düşlerle,24
dillendiren,1
özümleten,1
yanlızlığı,4
dinlendiriyor,2
yüreğimi,85
kafamı,8
bedenimi,30
okşayışlarıyla,2
kurdun,7
kuşun,45
aramıyorum,3
li̇,11
yakmadan,1
pembesini,1
avuclarimda,1
gülüsünle,1
isinsin,1
dudaklarimda,1
acilasan,1
islik,2
adinla,1
ciceklensin,1
serceler,1
göce,1
dayanmaz,9
bakis,1
simsicakligin,1
donar,8
üsür,1
ucurumlar,1
acilir,1
yollarinda,1
buharlasir,1
ciy,1
damlalari,1
kisrak,1
kapima,1
savrulsun,4
saclarin,1
yastigim,1
koksun,15
uzagi,1
yakin,4
pembelessin,1
carsafin,1
kapimin,1
tokmaginda,1
ayriligi,1
ferhat,7
olmayayim,1
daglarda,3
pembesiyle,1
gülümseyisi,1
paylasan,1
yagiyor,2
yatagima,1
avuclarim,1
kutuplara,1
kararmasin,1
geldiginde,1
söylenecek,5
serüvenciler,1
soyları,2
çılgındırlar,1
beklenirse,1
ordaydılar,1
gecikmediler,1
ordan,21
savurup,5
denilen,15
dilden,11
ülkenin,10
kimliğini,2
taşımadılar,1
sarışındılar,1
bileşkesi,1
arayıcısıydılar,1
vurulup,12
düşseler,1
kuşatmada,1
serüvencidir,1
ölmezler,1
yalnızdır,1
heder,6
kahraman,11
olmaya,34
mahkumdurlar,1
sislenen,2
bozulup,1
yazmalı,2
silinip,4
gitmesin,7
çekilmesin,1
bileği,7
gözüpek,3
kuşatıp,1
cennetinden,2
tüketen,4
düştükçe,4
karartan,4
serüvenlerin,2
günlüğü,6
tutulmadı,2
yazılmadı,1
ettirilseler,1
kartala,4
sonları,3
yüreklerinden,3
ihtilallerin,1
biriktikçe,1
sisleniyor,1
yitiriliyor,1
serüven,4
şeytanımı,1
koluma,8
cehennem,20
yineliyorken,1
kokular,3
benziyorken,1
dünle,1
ürkünç,3
sonsuza,43
sonsuzluğa,37
tanrılara,1
ödül,8
insanoğluna,1
bağışlanmayacak,1
katlanma,2
ayrılan,13
vermiştin,5
dinini,1
kimliğin,1
dahil,6
sezdiren,1
buydu,10
payın,1
duyumsa,1
sülfürün,1
yanışını,2
tarihsiz,3
parçalat,1
kayalara,10
zincirleyerek,1
kurbanla,1
tarihe,18
efsaneydi,1
bilmiyorsun,7
medyumdu,1
kimya,5
senfoninin,1
diliydi,2
cehennemler,1
kurmuştuk,1
bilinebilir,1
şeylerden,5
saydam,10
kalabilseydim,1
gelmiyor,34
yaşanacaklar,2
körleşirken,1
gökboşluğu,1
mıdır,46
bildiğimiz,5
yamyam,3
küresi,1
apiz,1
öküzlerinin,1
durduğu,14
cansıkıntısıydı,1
hantal,5
gürültücü,2
düşüyorken,1
üstümüze,28
alaycı,3
kıvamına,1
yakışıyor,4
bulutsu,3
gümüşsü,1
çevirirken,1
aklına,22
sedef,17
kakmalı,4
çakını,1
ışkınlardan,1
yaslan,10
göğsüne,39
ağırbaşlı,4
bilgedirler,1
kederli,22
gövdeleriyle,2
dinlemiş,1
umur,2
görmüşlerdir,1
tanığı,4
gizlerin,3
taşıyıcısıdır,1
yerleri,16
halk,28
duyarlığında,1
kendilerinden,7
vermemişlerdir,2
yalnızlıkları,10
efkarlı,3
sığabilir,1
geçitler,3
kapanmış,6
koyaklar,1
tutulmuş,20
ateşböcekleri,1
kıpırdayıp,1
dağlalesi,1
kopar,21
usuldan,8
türkülerini,8
kederlidir,2
çobanlar,4
aldın,14
gürül,23
kalabalıksın,1
çekinme,5
hecesine,2
uzadıkça,5
uzayan,18
bozkır,21
kasabalar,3
diyebilirsin,2
yitirmiş,16
coğrafyaya,1
eksilip,3
eskidiği,2
vadiye,4
söndürülürken,1
belleğimin,3
kurtarabilirsin,1
vahşi,17
saldırısından,2
okşa,7
dağıt,12
alışkanlığımı,1
sümbül,15
masalcımdın,1
yaslanıp,10
gecelerce,5
toprağına,22
içmek,8
gözesinden,1
damlasıyım,2
ışkın,2
yaylası,1
munzur,3
tedirginliği,1
esirgedik,1
kendimizi,20
sığ,7
sularından,7
öyküye,1
yıllarımızın,1
uçurumundaysa,1
susardık,2
anlatırdı,3
aşiret,2
töresinden,1
geleneği,2
yarattığını,1
arkadaşlarımız,1
konuk,16
olmazlardı,1
ayrılıklara,4
dağı’nda,1
telkari,1
kemer,3
kürt,3
kızlarının,2
bozkırdaki,2
misali,55
yeşerse,1
arsız,15
eflatun,8
kırlangıçların,4
görülür,7
ezberindedir,1
hecenin,2
harfleri,11
eprimiş,3
ceylanların,7
sıçrayışları,1
tetik,13
boşluğunda,7
sevilmişse,1
hüzünle,15
voltaya,1
kötüye,4
işaret,27
sığınıyorum,8
kasaba,6
tutturuyor,1
anlatıyor,11
avludan,1
dalların,10
üşütüyor,3
çakıyor,6
suretin,3
damlasına,5
silikleşiyor,1
alnım,5
tutabilsen,1
hastalıklar,3
asıyorum,7
ranzamın,1
tutturuyorum,1
çayında,2
teslim,25
olmayalım,3
halilim,1
atalım,5
uzaklıklar,6
ayrılıktır,3
sevenler,9
mucizedir,1
yürekte,24
boğulmaktır,1
sevginin,57
karanlıklarında,3
umutsuzluktur,3
çatlayan,8
hoşça,21
zoru,4
söyleyemediklerin,1
çözemediklerinle,1
duyarsın,5
düğümlenir,9
boğazına,4
hıçkırıklar,4
sıralanır,1
başın,29
gülümsemeye,3
çalışırsın,1
hapsedersin,1
beklersin,7
boşalırsın,1
nehirler,21
akarsın,4
durmayacak,1
sanırsın,11
i̇çindeki,12
isyanlara,2
diyemezsin,2
dinledik,6
akışıyla,1
kavakların,3
incirler,1
kopardık,1
kuşluk,11
soğuttuk,1
ürküterek,1
kurbağaları,1
öğleye,5
sepet,4
getirdiler,4
topak,4
işlerine,2
döndüler,5
umursamaz,3
tarlakuşları,2
üstümüzde,13
i̇kindiye,1
derede,5
sektirdik,1
yıkadık,2
sıçrayıp,1
tavşanı,2
sepetleriyle,1
türküleriyle,1
kondular,1
meşe,4
dalları,32
çevirdik,3
erafını,1
konuştuk,6
şundan,1
yattılar,1
uyuyakaldılar,1
küllenen,6
gökte,39
uyuyamadık,1
çobanların,4
ötelerden,2
nefeslerimizi,1
erkenden,13
düdüğünü,1
öttüren,2
duruyormus,1
sayılnıyormuş,1
öldürülür,3
derse,8
desin,13
gomore,2
efsanelerde,2
dokunsak,3
duyacağiz,1
gecikebilir,2
kitaplarından,3
versin,12
uzanacağiz,1
sımsıcaklığını,2
bekleyişlerini,2
varoşların,3
fabrikaları,3
zincirlerini,4
kırmasını,2
aovrayı,1
kışlık,4
saray,13
dayanabilir,5
kollamasını,2
bilenlere,2
gezdiren,7
serseriler,2
kalacaklar,2
yırtılırken,1
çevren,2
yaşanacaktır,1
beşine,1
bastımı,1
sokaktaki,1
benzemez,5
çocukluğa,4
okşayabilir,1
dağın,46
uzanarak,4
yelesine,3
tutuklayabilir,1
zındanlar,1
vuruşkan,1
sevdasını,8
rüzgarına,5
yelkenini,1
zından,1
işkence,8
indiremez,1
dudaklarındaki,7
gülümsemenin,3
bayrağını,3
elindeki,16
soldu,26
anımsanacak,2
bugünden,3
nelerdi,1
tarazlayan,1
şafak,39
kekemeydi,1
soytarılar,1
gencömrümüzde,1
peşimize,1
düşende,2
göçebeydik,1
suretimiz,1
ağardı,6
kurulan,11
darağaçlarına,1
uçurumlara,8
açılırdı,8
soğutsun,1
bedenlerimizi,1
düşünelim,2
konuşursak,1
adresteki,1
dostları,8
büyüyüp,9
yorumu,3
saçlarından,21
çağıltısıyla,1
begonyalar,1
saçlarındı,1
ömrümüzü,4
çözdükçe,1
savrulan,17
rüzgârdı,4
ikide,11
bilmiyorsam,1
değiştiririm,2
aramam,1
pas,10
tadında,16
bırakırım,5
birşeylere,1
saygılı,4
olanaktır,1
sararır,6
biterken,6
kediye,2
diyorsam,2
sözlerime,7
alışkanlık,10
yalnızsın,4
giz,21
deliyor,5
cansıkıntılarının,1
burgusu,1
bozgunlar,1
yenilgiler,3
peşindesin,1
kuraklığına,2
öpüştür,1
gurbeti,12
dönüştüren,3
vermedin,3
çeliğine,1
terkisine,1
öpücükleri,2
sessizliğin,40
iyotlu,1
ayrımı,5
yanlışla,1
hüzünlerle,8
kolkola,4
yanlışları,4
taşıdın,3
taşıyamaz,4
sandalı,3
sıkıntılarını,2
gelincikler,4
çalma,3
konuşursa,1
düşünmesini,1
sfenks,2
yanıldım,3
soytarıydı,1
unuturdum,2
uçurumların,6
alınan,8
onuda,1
kurtuluş,15
ordadır,4
acemidir,1
korkuyla,10
